1,Chelsea,,38,29,4,5,72,22,,18,1,0,47,9,,11,3,5,25,13,,50,91
2,Manchester United,,38,25,8,5,72,34,,13,5,1,37,8,,12,3,4,35,26,,38,83
3,Liverpool,,38,25,7,6,57,25,,15,3,1,32,8,,10,4,5,25,17,,32,82
4,Arsenal,,38,20,7,11,68,31,,14,3,2,48,13,,6,4,9,20,18,,37,67
5,Tottenham Hotspur,,38,18,11,9,53,38,,12,5,2,31,16,,6,6,7,22,22,,15,65
6,Blackburn Rovers,,38,19,6,13,51,42,,13,3,3,31,17,,6,3,10,20,25,,9,63
7,Newcastle United,,38,17,7,14,47,42,,11,5,3,28,15,,6,2,11,19,27,,5,58
8,Bolton Wanderers,,38,15,11,12,49,41,,11,5,3,29,13,,4,6,9,20,28,,8,56
9,West Ham United,,38,16,7,15,52,55,,9,3,7,30,25,,7,4,8,22,30,,-3,55
10,Wigan Athletic,,38,15,6,17,45,52,,7,3,9,24,26,,8,3,8,21,26,,-7,51
11,Everton,,38,14,8,16,34,49,,8,4,7,22,22,,6,4,9,12,27,,-15,50
12,Fulham,,38,14,6,18,48,58,,13,2,4,31,21,,1,4,14,17,37,,-10,48
13,Charlton Athletic,,38,13,8,17,41,55,,8,4,7,22,21,,5,4,10,19,34,,-14,47
14,Middlesbrough,,38,12,9,17,48,58,,7,5,7,28,30,,5,4,10,20,28,,-10,45
15,Manchester City,,38,13,4,21,43,48,,9,2,8,26,20,,4,2,13,17,28,,-5,43
16,Aston Villa,,38,10,12,16,42,55,,6,6,7,20,20,,4,6,9,22,35,,-13,42
17,Portsmouth,,38,10,8,20,37,62,,5,7,7,17,24,,5,1,13,20,38,,-25,38
18,Birmingham City,,38,8,10,20,28,50,,6,5,8,19,20,,2,5,12,9,30,,-22,34
19,West Bromwich Albion,,38,7,9,22,31,58,,6,2,11,21,24,,1,7,11,10,34,,-27,30
20,Sunderland,,38,3,6,29,26,69,,,,,,,,,,,,,,,
